date,season,home_team,away_team,home_runs,away_runs
2010-03-27,2010,두산,KIA,8,3
2010-03-27,2010,삼성,LG,5,7
2010-03-27,2010,롯데,넥센,2,3
2010-03-27,2010,SK,한화,3,2
2010-03-28,2010,두산,KIA,10,9
2010-03-28,2010,삼성,LG,9,4
2010-03-28,2010,롯데,넥센,3,11
2010-03-28,2010,SK,한화,6,3
2010-03-30,2010,LG,SK,0,3
2010-03-30,2010,넥센,두산,2,7
2010-03-30,2010,한화,롯데,13,3
2010-03-30,2010,KIA,삼성,1,6
2010-03-31,2010,KIA,삼성,4,2
2010-04-02,2010,LG,넥센,5,14
2010-04-02,2010,SK,두산,3,10
2010-04-02,2010,KIA,롯데,3,2
2010-04-02,2010,한화,삼성,1,8
2010-04-03,2010,LG,넥센,5,4
2010-04-03,2010,SK,두산,6,5
2010-04-03,2010,KIA,롯데,4,2
2010-04-03,2010,한화,삼성,11,9
2010-04-04,2010,LG,넥센,0,5
2010-04-04,2010,SK,두산,0,8
2010-04-04,2010,KIA,롯데,2,3
2010-04-04,2010,한화,삼성,1,2
2010-04-06,2010,SK,KIA,1,3
2010-04-06,2010,롯데,LG,7,5
2010-04-06,2010,삼성,넥센,7,3
2010-04-06,2010,두산,한화,3,2
2010-04-07,2010,SK,KIA,3,5
2010-04-07,2010,롯데,LG,6,0
2010-04-07,2010,삼성,넥센,3,1
2010-04-07,2010,두산,한화,8,2
2010-04-08,2010,SK,KIA,5,2
2010-04-08,2010,롯데,LG,2,10
2010-04-08,2010,삼성,넥센,7,6
2010-04-08,2010,두산,한화,5,4
2010-04-09,2010,삼성,KIA,6,5
2010-04-09,2010,두산,LG,7,7
2010-04-09,2010,넥센,SK,1,4
2010-04-09,2010,롯데,한화,14,15
2010-04-10,2010,삼성,KIA,3,1
2010-04-10,2010,두산,LG,3,2
2010-04-10,2010,넥센,SK,2,7
2010-04-10,2010,롯데,한화,2,9
2010-04-11,2010,삼성,KIA,2,3
2010-04-11,2010,두산,LG,5,8
2010-04-11,2010,넥센,SK,1,10
2010-04-11,2010,롯데,한화,10,9
2010-04-13,2010,한화,SK,2,1
2010-04-13,2010,KIA,두산,8,9
2010-04-13,2010,넥센,롯데,0,9
2010-04-13,2010,LG,삼성,0,6
2010-04-14,2010,한화,SK,1,6
2010-04-14,2010,넥센,롯데,6,5
2010-04-14,2010,LG,삼성,5,4
2010-04-15,2010,한화,SK,3,10
2010-04-15,2010,KIA,두산,4,3
2010-04-15,2010,넥센,롯데,0,6
2010-04-15,2010,LG,삼성,4,0
2010-04-16,2010,KIA,LG,4,8
2010-04-16,2010,한화,넥센,5,4
2010-04-16,2010,두산,롯데,6,4
2010-04-16,2010,SK,삼성,7,2
2010-04-17,2010,KIA,LG,4,13
2010-04-17,2010,한화,넥센,6,0
2010-04-17,2010,두산,롯데,4,3
2010-04-17,2010,SK,삼성,4,3
2010-04-18,2010,한화,넥센,0,15
2010-04-18,2010,두산,롯데,5,9
2010-04-18,2010,SK,삼성,12,1
2010-04-20,2010,롯데,KIA,3,10
2010-04-20,2010,넥센,LG,2,6
2010-04-20,2010,두산,SK,2,3
2010-04-20,2010,삼성,한화,16,3
2010-04-21,2010,롯데,KIA,6,9
2010-04-21,2010,삼성,한화,8,3
2010-04-22,2010,롯데,KIA,4,1
2010-04-22,2010,넥센,LG,1,3
2010-04-22,2010,두산,SK,6,9
2010-04-22,2010,삼성,한화,1,6
2010-04-23,2010,넥센,KIA,4,3
2010-04-23,2010,삼성,두산,9,7
2010-04-23,2010,SK,롯데,9,7
2010-04-23,2010,LG,한화,0,5
2010-04-24,2010,넥센,KIA,2,1
2010-04-24,2010,삼성,두산,2,3
2010-04-24,2010,SK,롯데,2,1
2010-04-24,2010,LG,한화,14,3
2010-04-25,2010,넥센,KIA,4,6
2010-04-25,2010,삼성,두산,4,8
2010-04-25,2010,SK,롯데,14,4
2010-04-25,2010,LG,한화,3,0
2010-04-27,2010,KIA,SK,0,4
2010-04-27,2010,롯데,넥센,10,2
2010-04-27,2010,한화,두산,5,14
2010-04-28,2010,롯데,넥센,6,5
2010-04-29,2010,KIA,SK,0,3
2010-04-29,2010,롯데,넥센,5,2
2010-04-29,2010,한화,두산,1,3
2010-04-29,2010,LG,삼성,2,3
2010-04-30,2010,롯데,KIA,4,8
2010-04-30,2010,SK,LG,5,4
2010-04-30,2010,두산,넥센,12,5
2010-04-30,2010,한화,삼성,4,10
2010-05-01,2010,롯데,KIA,7,15
2010-05-01,2010,SK,LG,21,3
2010-05-01,2010,두산,넥센,3,11
2010-05-01,2010,한화,삼성,5,8
2010-05-02,2010,롯데,KIA,5,4
