date,team,name,era,game_no
2013-03-30,넥센 히어로즈,나이트,7.20,1
2013-03-30,KIA 타이거즈,소사,5.40,1
2013-03-30,LG 트윈스,리즈,3.38,2
2013-03-30,SK 와이번스,레이예스,3.68,2
2013-03-30,한화 이글스,바티스타,5.40,3
2013-03-30,롯데 자이언츠,송승준,9.82,3
2013-03-30,두산 베어스,니퍼트,4.50,4
2013-03-30,삼성 라이온즈,배영수,19.64,4
2013-03-31,넥센 히어로즈,김병현,3.18,1
2013-03-31,KIA 타이거즈,서재응,8.44,1
2013-03-31,LG 트윈스,우규민,1.59,2
2013-03-31,SK 와이번스,세든,3.60,2
2013-03-31,한화 이글스,이브랜드,7.20,3
2013-03-31,롯데 자이언츠,옥스프링,3.38,3
2013-03-31,두산 베어스,올슨,9.00,4
2013-03-31,삼성 라이온즈,윤성환,10.80,4
2013-04-02,KIA 타이거즈,양현종,3.00,1
2013-04-02,한화 이글스,김혁민,6.00,1
2013-04-02,LG 트윈스,주키치,3.38,2
2013-04-02,넥센 히어로즈,밴헤켄,0.00,2
2013-04-02,롯데 자이언츠,유먼,0.00,3
2013-04-02,NC 다이노스,아담,0.00,3
2013-04-02,SK 와이번스,채병용,7.71,4
2013-04-02,두산 베어스,노경은,3.00,4
2013-04-03,KIA 타이거즈,임준섭,0.00,1
2013-04-03,한화 이글스,유창식,18.00,1
2013-04-03,LG 트윈스,임찬규,6.00,2
2013-04-03,넥센 히어로즈,강윤구,13.50,2
2013-04-03,롯데 자이언츠,고원준,1.29,3
2013-04-03,NC 다이노스,찰리,1.29,3
2013-04-03,SK 와이번스,여건욱,0.00,4
2013-04-03,두산 베어스,김선우,4.50,4
2013-04-04,KIA 타이거즈,소사,3.46,1
2013-04-04,한화 이글스,바티스타,4.76,1
2013-04-04,LG 트윈스,신정락,4.26,2
2013-04-04,넥센 히어로즈,김세현,3.86,2
2013-04-04,롯데 자이언츠,송승준,4.50,3
2013-04-04,NC 다이노스,해커,3.86,3
2013-04-04,SK 와이번스,레이예스,3.77,4
2013-04-04,두산 베어스,김태영,1.13,4
2013-04-05,넥센 히어로즈,나이트,4.50,1
2013-04-05,한화 이글스,이브랜드,5.11,1
2013-04-05,두산 베어스,니퍼트,4.50,2
2013-04-05,LG 트윈스,리즈,5.23,2
2013-04-05,KIA 타이거즈,김진우,1.50,3
2013-04-05,롯데 자이언츠,옥스프링,3.18,3
2013-04-05,NC 다이노스,노건우,45.00,4
2013-04-05,삼성 라이온즈,장원삼,1.50,4
2013-04-07,넥센 히어로즈,김병현,3.86,1
2013-04-07,한화 이글스,김혁민,5.68,1
2013-04-07,두산 베어스,올슨,6.00,2
