"team","G.x","E","Range RAA","종합 RAA.x","종합RAA/144","POSAdj","RAAwithPOS","WAAwoPOS","WAAwithPOS","WAA-BT","WAA-SB","WAA-Def","Rep.Wins","Pos.Wins","WAA-GS","WAA-GR","PA.x","타격 RAA","도루 RAA","주루 RAA","공격 RAA","필딩 RAA","포지션 RAA","수비 RAA","종합 RAA.y","대체 Run","RAR","RPW.x","연봉.x","WAR당 연봉.x","G.y","oWAR","dWAR","PA.y","ePA","AB","R.x","H.x","2B","3B","HR.x","TB","RBI","SB","CS","BB.x","HP.x","IB.x","SO.x","GDP","SH","SF","AVG.x","OBP.x","SLG","OPS","R/ePA.x","wRC+.x","WAR.x","K%.x","BB%.x","BB/SO","BABIP.x","IsoP.x","IsoD","R/ePA.y","wOBA","wRC","RC27","Own%","wRC+.y","PA","HR.y","XH","XH/AB","HR/XH","HR/FB","PA/HR","AB/HR","IsoP.y","SLG/AVG","G.x.x","RPW.y","선발RAA","구원RAA","종합RAA","선발WAA","구원WAA","종합WAA","선발WAR","구원WAR","연봉.y","WAR당 연봉.y","G.y.y","GS","GR","GF","CG","SHO","W","L","S","HD","IP","ER","R.y","rRA","TBF","H.y","HR","BB.y","HP.y","IB.y","SO.y","BK","WP","ERA.x","RA9.x","rRA9.x","FIP.x","WHIP","WAR.y","G","K/9","BB/9","K/BB","HR/9","K%.y","BB%.y","K-BB%","BABIP.y","LOB","ERA.y","RA9.y","rRA9.y","FIP.y","kwERA","ERA-FIP","ERA-","rRA9-","FIP-","AVG.y","OBP.y"
"25한화",144,86,0.27,8.18,0.48,-10.12,-2.23,0.817,-0.241,-0.73,-0.18,-0.35,2.41,-0.25,10.59,4.69,5547,-7.3,-1.78,-4.27,-17.76,12.65,-2.54,2.52,-16,24.11,15.7,353.26,592000,29586,144,19.19,0.82,5547,5453,4892,689,1303,250,16,116,1933,643,101,38,439,90,22,1038,109,79,46,0.266,0.335,0.395,0.73,0.126,99.4,20.01,18.7,7.9,0.42,0.314,0.129,0.069,0.126,0.338,673,4.71,19.8,99.4,5547,116,382,0.08,0.3,NA,47.82,42.17,0.129,1.485,144,232.25,97.51,34.04,131.55,10.59,4.69,15.28,21.19,10.13,657700,163063,144,144,586,144,1,0,83,57,41,57,1290.1,509,554,554,5478,1185,102,450,93,14,1339,9,60,3.55,3.86,3.86,3.57,1.27,31.32,144,9.34,3.14,2.98,0.71,24.4,8.2,16.2,0.314,74.1,3.55,3.86,3.86,3.57,3.45,-0.02,81.93,80.21,82.58,0.244,0.318
"25키움",144,119,-35.45,-35.75,-2.17,-10.05,-45.79,-3.573,-4.374,-10.22,0.58,-2.44,2.39,-2.72,-6.9,-14.4,5508,-102.26,5.78,3.7,-102.59,-35.75,-27.2,-45.79,-145.97,23.95,-139.18,442.51,615400,89451,144,10.45,-3.57,5508,5462,4935,581,1202,217,20,104,1771,540,83,15,439,63,13,1221,102,38,33,0.244,0.312,0.359,0.671,0.106,88.9,6.88,22.2,8,0.36,0.301,0.115,0.068,0.106,0.313,558.6,3.85,14.2,88.9,5508,104,341,0.07,0.31,NA,52.96,47.45,0.115,1.471,144,309.72,-50.53,-128.91,-179.45,-6.9,-14.4,-21.3,4.13,-7.65,328100,-197674,144,144,533,144,0,0,47,93,31,55,1269,760,860,860,5800,1447,146,550,92,13,937,4,66,5.39,6.1,6.1,4.93,1.57,-3.52,144,6.65,3.9,1.7,1.04,16.2,9.5,6.7,0.324,65.2,5.39,6.1,6.1,4.93,4.6,0.46,133.16,145.45,123.71,0.287,0.364
"25삼성",144,87,19.58,26.38,1.55,-8.27,18.07,2.637,1.761,5.42,0.1,0.09,2.46,3.43,8.15,-0.13,5670,54.49,0.98,-0.56,53.51,26.38,34.21,18.11,71.88,24.65,139,394.06,740350,24983,144,26.97,2.64,5671,5587,4899,775,1330,241,18,161,2090,728,98,32,564,86,25,1087,106,67,55,0.271,0.353,0.427,0.78,0.139,108.3,29.61,19.2,9.9,0.52,0.315,0.156,0.082,0.139,0.359,791.9,5.58,25.8,108.3,5671,161,420,0.09,0.38,NA,35.22,30.43,0.156,1.576,144,297.37,46.6,-29.81,16.79,8.15,-0.13,8.02,18.88,5.37,697950,7570828,144,144,535,144,3,2,74,68,25,76,1268.2,581,647,647,5491,1257,132,455,70,16,1048,1,45,4.12,4.59,4.59,4.31,1.35,24.25,144,7.44,3.23,2.3,0.94,19.1,8.3,10.8,0.303,71.1,4.12,4.59,4.59,4.31,4.1,-0.19,86.05,80.87,91.82,0.259,0.329
"25롯데",144,111,-11.02,-13.96,-0.78,-9.52,-23.57,-1.395,-2.401,-2.21,0.2,-0.19,2.47,0.48,-0.13,-1.66,5682,-22.13,2.36,0.83,-33.39,-13.96,4.78,-23.48,-49.61,24.7,-10.6,384.06,732500,43227,144,18.3,-1.39,5682,5591,4944,676,1318,242,26,75,1837,629,91,28,530,91,28,1030,123,72,45,0.267,0.346,0.372,0.718,0.121,96,16.91,18.1,9.3,0.51,0.32,0.105,0.079,0.121,0.337,688,4.77,20.3,96,5682,75,343,0.07,0.22,NA,75.76,65.92,0.105,1.393,144,303.79,1.61,-23.41,-21.79,-0.13,-1.66,-1.79,10.91,4.17,790600,-1522044,144,144,590,144,0,0,66,72,36,69,1280,676,749,749,5747,1351,128,560,73,11,1173,5,69,4.75,5.27,5.27,4.33,1.49,15.08,144,8.25,3.94,2.09,0.9,20.4,9.7,10.7,0.325,68.4,4.75,5.27,5.27,4.33,4.12,0.42,105.09,100.74,96.33,0.27,0.348
"25두산",144,120,11.33,8.39,0.49,-6.77,1.62,0.839,0.227,-0.87,0.1,-0.74,2.43,1.59,2.65,-4.26,5580,-8.38,1,1.92,-0.8,8.39,15.93,1.63,-2.57,24.26,44.38,454.87,732060,33816,144,20.79,0.84,5581,5514,4952,647,1298,232,31,102,1898,592,144,43,469,65,20,1169,87,53,42,0.262,0.331,0.383,0.714,0.117,99,21.62,20.9,8.4,0.4,0.321,0.121,0.069,0.117,0.332,642,4.47,18.2,99,5581,102,365,0.07,0.28,NA,54.72,48.55,0.121,1.462,144,290.97,9.85,-56.29,-46.44,2.65,-4.26,-1.62,13.65,1.63,452300,-385424,144,144,577,144,0,0,61,77,29,69,1280,612,686,686,5605,1227,109,542,99,23,1054,1,72,4.3,4.82,4.82,4.39,1.38,15.28,144,7.41,3.81,1.94,0.77,18.8,9.7,9.1,0.3,68.9,4.3,4.82,4.82,4.39,4.3,-0.09,102.09,106.81,105.36,0.253,0.338
"25SSG",144,106,10.99,5.33,0.32,-7.25,-2.06,0.532,-0.034,-5.88,-0.48,0.01,2.4,0.21,5.98,8.09,5517,-58.85,-4.83,-3.95,-58.49,3.32,2.08,-3.93,-63.07,23.98,-29.76,424.07,815600,53984,144,14.58,0.52,5517,5451,4875,609,1249,175,14,127,1833,578,129,47,493,60,19,1159,90,52,37,0.256,0.33,0.376,0.706,0.112,91.7,15.11,21,8.9,0.43,0.309,0.12,0.074,0.112,0.329,611.9,4.29,17,91.7,5517,127,316,0.06,0.4,NA,43.44,38.39,0.12,1.469,144,224.96,55.04,53.61,108.65,5.98,8.09,14.07,15.98,13.88,969200,599595,144,144,556,144,1,0,75,65,36,102,1283.1,517,576,576,5463,1164,115,510,78,23,1193,1,56,3.63,4.04,4.04,4.04,1.3,29.86,144,8.37,3.58,2.34,0.81,21.8,9.3,12.5,0.299,73.9,3.63,4.04,4.04,4.04,3.9,-0.41,81.4,80.01,91.47,0.244,0.324
"25NC",144,116,-7.21,-11.97,-0.64,-5.56,-17.53,-1.197,-1.752,2.7,0.01,-0.06,2.42,0.64,-1.63,-3.21,5569,27.31,0.11,1.68,34.92,-18.18,6.36,-23.74,13.83,24.21,49.96,403.68,754600,32317,144,24.52,-1.2,5570,5502,4816,732,1254,221,31,128,1921,685,186,64,504,136,11,1090,83,62,52,0.26,0.344,0.399,0.743,0.133,103.8,23.33,19.6,9,0.46,0.309,0.139,0.084,0.133,0.346,715.7,5.05,22.2,103.8,5570,128,380,0.08,0.34,NA,43.52,37.63,0.139,1.535,144,335.03,-11.68,-33.79,-45.47,-1.63,-3.21,-4.84,8.26,3.49,542300,-1246358,144,144,613,144,1,0,71,67,39,103,1270,680,766,766,5704,1279,146,621,97,31,1075,4,95,4.82,5.43,5.43,4.83,1.5,11.75,144,7.62,4.4,1.73,1.04,18.8,10.9,8,0.306,68.7,4.82,5.43,5.43,4.83,4.44,-0.01,107.31,105.2,109.01,0.262,0.354
"25LG",144,92,10.67,14.25,0.83,-7.14,7.11,1.424,0.788,12.75,-0.23,0,2.48,1.18,9.26,-0.15,5713,127.52,-2.28,1.67,133.45,19.75,11.82,12.61,138,24.84,181.8,374.45,811900,22334,144,34.93,1.42,5713,5640,4919,788,1366,219,19,130,2013,732,121,49,604,68,16,975,99,63,59,0.278,0.361,0.409,0.77,0.14,118.7,36.35,17.1,10.6,0.62,0.319,0.131,0.083,0.14,0.358,785.9,5.55,25.6,118.7,5713,130,368,0.07,0.35,NA,43.95,37.84,0.131,1.471,144,309.49,67.97,-34.29,33.68,9.26,-0.15,9.11,20.34,5.17,544800,111240,144,144,538,144,1,1,85,56,42,77,1279.1,539,584,584,5508,1236,91,491,62,12,1080,2,44,3.79,4.11,4.11,3.96,1.35,25.5,144,7.6,3.45,2.2,0.64,19.6,8.9,10.7,0.307,72.5,3.79,4.11,4.11,3.96,4.12,-0.17,90.24,91,95.15,0.254,0.328
"25KT",144,103,-5.17,-4.12,-0.24,-9.6,-11.78,-0.406,-1.175,-3.39,-0.37,-0.31,2.43,0.34,4.64,-1.01,5588,-33.94,-3.72,-1.58,-37.28,-8.04,3.4,-17.63,-49.88,24.29,-12.59,415.25,778000,46965,144,16.97,-0.4,5588,5511,4845,648,1228,214,17,104,1788,613,48,24,555,80,16,1044,108,65,43,0.253,0.337,0.369,0.706,0.118,94.7,16.57,18.7,9.9,0.53,0.301,0.116,0.084,0.118,0.332,655.4,4.59,19,94.7,5588,104,335,0.07,0.31,NA,53.73,46.59,0.116,1.458,144,288.74,57.32,-14.41,42.91,4.64,-1.01,3.63,16.03,4.31,785400,699378,144,144,482,144,1,1,71,68,37,60,1278.1,581,657,657,5584,1362,112,433,58,25,1067,6,61,4.09,4.63,4.63,4,1.4,20.35,144,7.51,3.05,2.46,0.79,19.1,7.8,11.4,0.324,70.5,4.09,4.63,4.63,4,4.04,0.09,91.3,91.32,90.13,0.273,0.335
"25KIA",144,123,-13.15,-15.88,-0.88,-7.31,-23.2,-1.588,-2.278,1.28,0.28,-0.38,2.44,-1.77,1.68,-5.42,5619,12.83,2.8,0.82,17.96,-26.51,-17.74,-33.82,-7.82,24.43,6.18,414.07,892900,42097,144,22.8,-1.59,5619,5568,4944,668,1276,232,16,144,1972,624,77,22,526,67,17,1211,96,43,39,0.258,0.335,0.399,0.734,0.12,104,21.21,21.6,9.4,0.43,0.312,0.141,0.077,0.12,0.34,690.6,4.82,20.6,104,5619,144,392,0.08,0.37,NA,39.02,34.33,0.141,1.547,144,353.2,28.12,-70.13,-42,1.68,-5.42,-3.74,12.53,0.63,624300,725353,144,144,576,144,1,0,65,75,30,82,1274.2,660,734,734,5616,1316,110,511,84,19,1058,2,53,4.66,5.18,5.18,4.26,1.43,13.16,144,7.47,3.61,2.07,0.78,18.8,9.1,9.7,0.318,67,4.66,5.18,5.18,4.26,4.23,0.4,109.34,111.73,101.32,0.268,0.344
